2,,,,,,,,,,,,,,,,,,
0,,,,,,,,,,,,,,,,,,
"[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_crate,Instances]","[obj_crate,Instances]",#,"[obj_rock,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_crate,Instances]","[obj_rock,Instances]","[obj_crate,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]"
"[obj_rock,Instances]",#,#,#,"[obj_rock,Instances]","[obj_rock,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_psnt_arch_body,Instances]",#,"[obj_rock,Instances]","[obj_rock,Instances]"
#,#,#,#,#,"[obj_rock,Instances]",#,#,#,#,#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_rock,Instances]",#,#,#,"[obj_rock,Instances]"
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#,#
"[obj_rock,Instances]",#,#,#,#,"[obj_rock,Instances]",#,#,#,#,#,#,#,#,#,#,#,#,"[obj_rock,Instances]"
"[obj_rock,Instances]","[obj_barrel,Instances]",#,#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_psnt_arch_body,Instances]","[obj_barrel,Instances]","[obj_rock,Instances]","[obj_rock,Instances]",#,#,#,#,#,#,#,"[obj_rock,Instances]","[obj_rock,Instances]"
"[obj_rock,Instances]","[obj_rock,Instances]",#,"[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_barrel,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_slm_cr,Instances]",#,"[obj_vase,Instances]","[obj_barrel,Instances]","[obj_barrel,Instances]","[obj_rock,Instances]","[obj_rock,Instances]","[obj_rock,Instances]"
2,,,,,,,,,,,,,,,,,,
"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_spike_trap,Instances]",#,"[obj_psnt_body,Instances]",#,"[obj_vase,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#
"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_spike_trap,Instances]",#,#,#,#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_crate,Instances]","[obj_crate,Instances]",#
#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_spike_trap,Instances]",#,"[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_crate,Instances]",#,#
#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_spike_trap,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_pit,BH]","[obj_pit,BH]",#,#,#
#,#,"[obj_spike_trap,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_pit,BH]","[obj_pit,BH]",#,#,#
#,#,"[obj_spike_trap,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_spike_trap,Instances]","[obj_pit,BH]",#,#,#
"[obj_pit,BH]",#,"[obj_spike_trap,Instances]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_crate,Instances]",#,"[obj_spike_trap,Instances]",#,#,#,#
"[obj_pit,BH]","[obj_vase,Instances]","[obj_spike_trap,Instances]",#,#,#,#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]",#,"[obj_spike_trap,Instances]",#,#,#,"[obj_pit,BH]"
"[obj_pit,BH]","[obj_pit,BH]","[obj_vase,Instances]",#,"[obj_psnt_body,Instances]",#,#,"[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_pit,BH]","[obj_spike_trap,Instances]","[obj_psnt_body,Instances]",#,"[obj_pit,BH]","[obj_pit,BH]"
